initial_adoption,isolation_threshold,final_density,final_isolated_students,degree_gini,giant_component_share
0.2,0,0.028190954773869348,18,0.5540552584670233,0.91
0.2,1,0.03979899497487437,17,0.5481502525252526,0.905
0.2,2,0.04120603015075377,15,0.5573475609756098,0.89
0.2,3,0.04180904522613065,13,0.5644230769230771,0.9
0.4,0,0.0478894472361809,13,0.4843179433368312,0.925
0.4,1,0.059698492462311556,9,0.4375673400673401,0.945
0.4,2,0.06276381909547739,8,0.4267814251401123,0.95
0.4,3,0.060050251256281405,5,0.4534937238493726,0.965
0.6,0,0.07306532663316583,8,0.3309147180192573,0.96
0.6,1,0.07608040201005026,5,0.33307463672391036,0.965
0.6,2,0.07402010050251256,7,0.3627019687712154,0.965
0.6,3,0.07040201005025126,13,0.39229122055674526,0.935
0.8,0,0.07753768844221105,5,0.26584575502268315,0.975
0.8,1,0.10120603015075377,1,0.19622393247269132,0.995
0.8,2,0.10180904522613066,2,0.18375616979269505,0.99
0.8,3,0.09879396984924622,2,0.20820956256358092,0.99
0.9,0,0.0885427135678392,4,0.19452043132803643,0.98
0.9,1,0.10944723618090452,2,0.1462052341597797,0.99
0.9,2,0.10422110552763819,4,0.17333172613307624,0.98
0.9,3,0.10522613065326633,3,0.17216093600764104,0.985
