scenario,week,adoption_rate,density,isolated_students,degree_gini,giant_component_share,mean_satisfaction,group_balance_index
AS_IS_Self_Selection,1,0.0,0.010452261306532663,31,0.38911057692307693,0.8,0.42,0.0
AS_IS_Self_Selection,2,0.0,0.010603015075376884,31,0.3860189573459716,0.8,0.42107745050584555,0.18633607911140895
AS_IS_Self_Selection,3,0.0,0.010703517587939698,30,0.3866197183098592,0.805,0.4235421600160953,0.19797171897221488
AS_IS_Self_Selection,4,0.0,0.011005025125628141,29,0.3868493150684933,0.82,0.42897584706411396,0.3173670073430186
AS_IS_Self_Selection,5,0.0,0.011256281407035176,29,0.39270089285714294,0.82,0.4320320730099743,0.15580935750857525
AS_IS_Self_Selection,6,0.0,0.01135678391959799,29,0.3936504424778762,0.82,0.43298642787985214,0.15651616322927944
AS_IS_Self_Selection,7,0.0,0.01135678391959799,29,0.3936504424778762,0.82,0.43770981685715526,0.8660565214764744
AS_IS_Self_Selection,8,0.0,0.011507537688442211,29,0.39567685589519663,0.82,0.4400446819054369,0.3207975649682254
AS_IS_Self_Selection,9,0.0,0.011507537688442211,29,0.39567685589519663,0.82,0.4400446819054369,0.0
AS_IS_Self_Selection,10,0.0,0.011658291457286432,29,0.4013577586206898,0.82,0.440739659110267,0.17851183660254816
AS_IS_Self_Selection,11,0.0,0.011708542713567839,29,0.39935622317596575,0.82,0.4432603346992437,0.28791062065087053
AS_IS_Self_Selection,12,0.0,0.011809045226130653,29,0.40076595744680854,0.82,0.44544156340818036,0.973379416597719
ACN_No_B1,1,0.38,0.012361809045226132,17,0.3556707317073171,0.89,0.5606063884034839,0.6687613867211053
ACN_No_B1,2,0.38,0.013467336683417085,16,0.35617537313432845,0.91,0.5686953736365308,0.6880721168347432
ACN_No_B1,3,0.38,0.014673366834170854,14,0.3683732876712329,0.92,0.575668232082064,0.4304467114475002
ACN_No_B1,4,0.395,0.015979899497487435,13,0.3752201257861636,0.935,0.5820648703192681,0.48031830009728466
ACN_No_B1,5,0.4,0.017336683417085427,11,0.3793768115942031,0.945,0.5901969256149273,0.6653493094492006
ACN_No_B1,6,0.41,0.018190954773869346,11,0.3891160220994476,0.945,0.5950081891370023,0.6276547032088561
ACN_No_B1,7,0.42,0.019246231155778896,9,0.3956527415143605,0.955,0.5987391973941193,0.5395871632880882
ACN_No_B1,8,0.43,0.020703517587939698,9,0.4042111650485438,0.955,0.6060725100913712,0.6803793353537283
ACN_No_B1,9,0.465,0.02190954773869347,9,0.41280963302752305,0.955,0.6116240417063675,0.6238923990630165
ACN_No_B1,10,0.48,0.02371859296482412,8,0.42476694915254254,0.96,0.6176390542542332,0.654895325889586
ACN_No_B1,11,0.49,0.02477386934673367,8,0.4259026369168357,0.96,0.6232290379386968,0.6796172554725447
ACN_No_B1,12,0.505,0.026180904522613065,7,0.4281573896353168,0.965,0.6284571432256729,0.6181113599123852
ACN_With_B1,1,0.795,0.021055276381909547,10,0.2934964200477328,0.94,0.6117656684821267,0.6688673397085523
ACN_With_B1,2,0.81,0.03055276381909548,10,0.284202302631579,0.95,0.6539764898913354,0.6637704918918529
ACN_With_B1,3,0.815,0.039949748743718594,8,0.2738805031446543,0.96,0.684660907363641,0.6521265447137633
ACN_With_B1,4,0.83,0.05005025125628141,8,0.253112449799197,0.96,0.7114209263487098,0.6601264464713001
