scenario,trial,cohort_size,possible_groups,successful_groups,success_rate,median_formation_days,p95_matching_latency_seconds,isolated_students,group_balance_index,mean_skill_variance,mean_schedule_score,satisfaction_score
AS_IS_WhatsApp,1,200,40,16,0.4,2.6872358101779956,,120,0.31618054938679974,0.0009105485926125239,0.8321571345301262,0.41365251304054634
AS_IS_WhatsApp,2,200,40,15,0.375,5.299146093438576,,125,0.3111105958310614,0.0007938463429162896,0.8252156701461508,0.37204177709818714
AS_IS_WhatsApp,3,200,40,12,0.3,3.7287292399823277,,140,0.27856467280823405,0.0009695572784561967,0.8305751536057631,0.35899552786672134
AS_IS_WhatsApp,4,200,40,16,0.4,4.45799480099494,,120,0.3049810011800015,0.0009549164546296856,0.842291015262175,0.3772899019615739
AS_IS_WhatsApp,5,200,40,15,0.375,5.254062908254674,,125,0.2923730990617182,0.0009738007019297319,0.8727073075265295,0.3997240101622878
AS_IS_WhatsApp,6,200,40,15,0.375,4.139056934366669,,125,0.30304389167965123,0.001046150924523832,0.8436924706578154,0.41529883615742197
AS_IS_WhatsApp,7,200,40,16,0.4,3.2689796865459826,,120,0.29256643821762607,0.0008818452416354408,0.840143972611574,0.40668481247374627
AS_IS_WhatsApp,8,200,40,18,0.45,3.872691980334448,,110,0.29724476312177095,0.0006133338170928159,0.8413077709377197,0.3619623135835956
AS_IS_WhatsApp,9,200,40,14,0.35,4.538994978520348,,130,0.3016310434141914,0.0011759834544472652,0.829902777214321,0.39655604759971447
AS_IS_WhatsApp,10,200,40,14,0.35,5.554924004703198,,130,0.29488550290542886,0.0010410033177138448,0.8382062322308977,0.32306949130744284
AS_IS_WhatsApp,11,200,40,17,0.425,4.36714333572197,,115,0.2810822290285101,0.0007520868947142326,0.8420203198596734,0.39827306829652026
AS_IS_WhatsApp,12,200,40,10,0.25,5.767612485863534,,150,0.30691497174907534,0.0005411587415141652,0.8263205735385775,0.4219188337374263
AS_IS_WhatsApp,13,200,40,13,0.325,5.430859052732452,,135,0.298251461654119,0.0008571119643862961,0.8407759654197828,0.33545506385945506
AS_IS_WhatsApp,14,200,40,16,0.4,4.550385709765258,,120,0.30067746336660944,0.0008235906026761207,0.8251026661391782,0.3665589463352709
AS_IS_WhatsApp,15,200,40,18,0.45,4.140901489207443,,110,0.3117456567278918,0.0009074173258646727,0.8618062136269934,0.37009127674009573
AS_IS_WhatsApp,16,200,40,13,0.325,4.895652884473455,,135,0.29749060590187043,0.0009864901445738997,0.8521501682104116,0.38533613255091764
AS_IS_WhatsApp,17,200,40,15,0.375,3.954393090442736,,125,0.3007354426543856,0.0008958034716738479,0.8186984125759675,0.38320256725212193
AS_IS_WhatsApp,18,200,40,18,0.45,5.795493368063219,,110,0.30256900702981093,0.0009482366072869388,0.8595843788666999,0.3680495529562999
AS_IS_WhatsApp,19,200,40,15,0.375,4.079111453016811,,125,0.3013459823613073,0.0005703432289503455,0.8765053316195764,0.3366280194541477
AS_IS_WhatsApp,20,200,40,14,0.35,4.474391162349451,,130,0.2842131162279277,0.000596333935601019,0.8381537497618371,0.3840324724596999
AS_IS_WhatsApp,21,200,40,15,0.375,4.068088226956407,,125,0.29428690838069416,0.0009193711621895778,0.8282511061713776,0.3033878037735401
AS_IS_WhatsApp,22,200,40,10,0.25,2.7554428704327347,,150,0.2876970266017681,0.0008665985402072553,0.8345717543171233,0.3894136173941039
AS_IS_WhatsApp,23,200,40,15,0.375,4.303891416249784,,125,0.3119643925938735,0.0006792635278632369,0.8267329832231998,0.4136445637713521
AS_IS_WhatsApp,24,200,40,11,0.275,4.27023107336854,,145,0.3217508895157333,0.0009503671387870184,0.8111095993314923,0.3733043177432112
AS_IS_WhatsApp,25,200,40,14,0.35,6.5320355398775165,,130,0.3099222381411629,0.0008157741372225456,0.8181664579706489,0.3652900876396152
AS_IS_WhatsApp,26,200,40,20,0.5,3.69110468017654,,100,0.31180605612225376,0.0012158541864199322,0.8330548390366828,0.35281989344031744
AS_IS_WhatsApp,27,200,40,12,0.3,4.3113817150529306,,140,0.3235318067504566,0.0006647296080883726,0.8146929312254751,0.44695946327096164
AS_IS_WhatsApp,28,200,40,13,0.325,5.201763632288719,,135,0.3119256453418757,0.000803065969727182,0.8272303985624117,0.41492371158345626
AS_IS_WhatsApp,29,200,40,15,0.375,6.587067185842949,,125,0.30287099263530515,0.000935755384005247,0.8343854738809104,0.3712708854984142
AS_IS_WhatsApp,30,200,40,19,0.475,3.7524710230537863,,105,0.3266086635770638,0.0007362824991730811,0.826426662875827,0.42261561681313436
AS_IS_WhatsApp,31,200,40,17,0.425,4.376332771073057,,115,0.3225312169604556,0.0008777321399187834,0.8239821820257859,0.3812400308309371
AS_IS_WhatsApp,32,200,40,19,0.475,3.5659868478323564,,105,0.29416402375250206,0.0008957475715361844,0.8427316161048222,0.39896958723553483
AS_IS_WhatsApp,33,200,40,15,0.375,4.028494979535669,,125,0.3340893345105018,0.0009212287173852639,0.8310962332579941,0.36162209909146764
AS_IS_WhatsApp,34,200,40,20,0.5,3.8075544561544308,,100,0.289108912655891,0.0009515165452943546,0.8653456081406578,0.32176752924408364
AS_IS_WhatsApp,35,200,40,17,0.425,3.4489018000343408,,115,0.27652130487730014,0.0006584601933767871,0.8404402886009118,0.36539387686570185
AS_IS_WhatsApp,36,200,40,13,0.325,6.389615897834072,,135,0.2934792182024215,0.0006554620846458785,0.839438514020939,0.38067302260038544
AS_IS_WhatsApp,37,200,40,10,0.25,5.950581881383302,,150,0.3004980042717823,0.0007376950010869319,0.8518035230450245,0.33001645820092046
AS_IS_WhatsApp,38,200,40,16,0.4,3.369552981817459,,120,0.2780023802202442,0.000811360970031144,0.8642653696191864,0.3791465396006202
AS_IS_WhatsApp,39,200,40,20,0.5,3.0458065647360177,,100,0.2823361647675126,0.0006766089871858508,0.8501495334897798,0.3504042296681665
AS_IS_WhatsApp,40,200,40,17,0.425,5.661610803445152,,115,0.2819576555952649,0.001157200521591274,0.8560205292365554,0.33617362718622584
AS_IS_WhatsApp,41,200,40,18,0.45,4.97296450877569,,110,0.29262854024280294,0.0006699217657919979,0.8299144033645476,0.3993881463961649
AS_IS_WhatsApp,42,200,40,19,0.475,3.7369678992557795,,105,0.2883519019972204,0.0009096776270178453,0.8396026157507898,0.3424933345730529
AS_IS_WhatsApp,43,200,40,15,0.375,4.5900439830408954,,125,0.2993155500316064,0.0009879206650150495,0.8319760988377543,0.381117078331431
AS_IS_WhatsApp,44,200,40,18,0.45,5.248030221541405,,110,0.3126244081238369,0.0010326839801672496,0.8435159992007841,0.36311500280347614
AS_IS_WhatsApp,45,200,40,12,0.3,3.184848774417193,,140,0.2796773158986538,0.000845420134384499,0.8480806060794215,0.3378636982576351
AS_IS_WhatsApp,46,200,40,9,0.225,4.253245870336259,,155,0.30179851799225565,0.0006023405775816953,0.8374057918168735,0.3626250000609003
AS_IS_WhatsApp,47,200,40,13,0.325,4.986427656328611,,135,0.2978219660830281,0.001070742333631687,0.8367883937379503,0.36596214042251146
AS_IS_WhatsApp,48,200,40,17,0.425,5.697685734416956,,115,0.30049764884545693,0.0008230211326295814,0.8234837570668333,0.35829380019511486
AS_IS_WhatsApp,49,200,40,16,0.4,4.188409892474173,,120,0.28879800009168316,0.0007187992746872521,0.8191714677625667,0.4013443647036515
AS_IS_WhatsApp,50,200,40,15,0.375,4.612644943873984,,125,0.30208857207600004,0.0005918018847314766,0.8687319623037574,0.3518522372804767
AS_IS_WhatsApp,51,200,40,14,0.35,7.767055529041929,,130,0.30266729586300645,0.0010194141898302036,0.8172527743693039,0.399227437842597
AS_IS_WhatsApp,52,200,40,18,0.45,4.633948678180332,,110,0.3171034148862094,0.0011929593673752497,0.8329043254710073,0.3741086240762744
AS_IS_WhatsApp,53,200,40,16,0.4,4.3295813235080445,,120,0.280529709587772,0.0006408304773401727,0.8462995832961141,0.34780240123093936
AS_IS_WhatsApp,54,200,40,16,0.4,3.9630002300859166,,120,0.31321884228714164,0.000995006091266596,0.8147181251616391,0.4004489743681476
AS_IS_WhatsApp,55,200,40,18,0.45,6.566415620607897,,110,0.29535607057636515,0.0009099968740935264,0.8538950075551401,0.4031414451207566
AS_IS_WhatsApp,56,200,40,12,0.3,3.9878323266921756,,140,0.29816722618162445,0.0009496554615169225,0.828628724032016,0.34379943414822206
AS_IS_WhatsApp,57,200,40,14,0.35,3.965182202916572,,130,0.2963381083003649,0.0005444701629806597,0.8372560782681777,0.3811106013987831
AS_IS_WhatsApp,58,200,40,20,0.5,5.0762732901950525,,100,0.2917081954292716,0.0007855569125280362,0.8392123758750992,0.3970064900796953
AS_IS_WhatsApp,59,200,40,14,0.35,5.545097901233209,,130,0.28984241808601896,0.0004572327701493728,0.8694333280030564,0.40481425625022455
AS_IS_WhatsApp,60,200,40,14,0.35,6.212047212402848,,130,0.28923407665805,0.0010410311122024916,0.8210609967492802,0.3967051522298692
AS_IS_WhatsApp,61,200,40,12,0.3,5.466277575012435,,140,0.2771932317880361,0.0008610022811461383,0.8581169951840939,0.4045851107878257
AS_IS_WhatsApp,62,200,40,21,0.525,3.8939579932367807,,95,0.28269222711679715,0.0010519296331227691,0.8473830964506448,0.4167626947305256
AS_IS_WhatsApp,63,200,40,15,0.375,5.846335172186513,,125,0.32505751135614447,0.0009372225988063948,0.823035196847599,0.42755451941387973
AS_IS_WhatsApp,64,200,40,10,0.25,5.403643157080481,,150,0.31573313319468505,0.0005592966763522532,0.8443965612281868,0.3598379758700066
AS_IS_WhatsApp,65,200,40,16,0.4,7.063608486571091,,120,0.28327353652292,0.0012237411166996707,0.8273802316438985,0.3707679304718265
AS_IS_WhatsApp,66,200,40,20,0.5,6.494778940797415,,100,0.315929505584383,0.0006389262601573549,0.8062985398824637,0.38637562421495847
AS_IS_WhatsApp,67,200,40,11,0.275,4.022239879506985,,145,0.28405005597041894,0.0006087842417694148,0.8493491593117695,0.36342053838307614
AS_IS_WhatsApp,68,200,40,10,0.25,5.552501873879326,,150,0.2771169555050033,0.0007234380010668675,0.8407814542459395,0.39585030639560953
AS_IS_WhatsApp,69,200,40,14,0.35,5.776434832545405,,130,0.30127259259193423,0.0009011935481432933,0.821303298627398,0.3201207542718251
AS_IS_WhatsApp,70,200,40,16,0.4,4.291734722865432,,120,0.31693639194519657,0.0008947097830213288,0.8376912868351795,0.4638032639612936
AS_IS_WhatsApp,71,200,40,22,0.55,6.140995433591433,,90,0.3041280635483271,0.0010579028504612096,0.8418068666296836,0.36562170938303146
AS_IS_WhatsApp,72,200,40,11,0.275,3.82524859022408,,145,0.31027571185143543,0.000914978288506637,0.8118345398423061,0.36812911759166217
AS_IS_WhatsApp,73,200,40,17,0.425,3.46986177478014,,115,0.3205671898459234,0.00087983790138826,0.8308545905165081,0.32493035892191086
AS_IS_WhatsApp,74,200,40,18,0.45,4.512240795313032,,110,0.30514223811998586,0.0006760062967408446,0.8368889104370325,0.3874795589667425
AS_IS_WhatsApp,75,200,40,16,0.4,3.747977283875654,,120,0.3118529260747152,0.0008272387409660343,0.8392839603532222,0.3668735874797499
AS_IS_WhatsApp,76,200,40,16,0.4,3.7550325298936524,,120,0.31238034873090553,0.000586459901891812,0.8346597389407989,0.38559593014878574
AS_IS_WhatsApp,77,200,40,20,0.5,6.020593388684443,,100,0.3106255151197006,0.0006832561830671548,0.8317329942272422,0.33572798798744835
AS_IS_WhatsApp,78,200,40,18,0.45,5.0724642603532715,,110,0.32115997898332094,0.0006641692114427749,0.825974001355166,0.35823469351825127
AS_IS_WhatsApp,79,200,40,19,0.475,4.256439897085591,,105,0.3028246431805452,0.0009367923378222212,0.8398498677885208,0.39468237397593303
AS_IS_WhatsApp,80,200,40,17,0.425,4.567492272657178,,115,0.31340069164242873,0.0008340898788859266,0.8458461465325022,0.37609694466726834
AS_IS_WhatsApp,81,200,40,19,0.475,3.8753363489695967,,105,0.30470261233380946,0.0009988561618196564,0.843264374650434,0.3804636229675002
AS_IS_WhatsApp,82,200,40,12,0.3,3.515296314107251,,140,0.3093233403628244,0.0006601185910773963,0.8480201609366574,0.392487855726601
AS_IS_WhatsApp,83,200,40,18,0.45,4.4332491431476235,,110,0.2974950727537306,0.0006637184567105815,0.8346552512426871,0.3759483414732378
AS_IS_WhatsApp,84,200,40,21,0.525,6.947284201715472,,95,0.2950312672310006,0.0009170775245764442,0.8201060338055468,0.42669122177847457
AS_IS_WhatsApp,85,200,40,12,0.3,4.51854662522935,,140,0.3179278947936978,0.0007606556083270358,0.8506225153430421,0.4224032357366338
AS_IS_WhatsApp,86,200,40,16,0.4,4.6593788845118596,,120,0.28534531293622506,0.0006586810736838043,0.8565942063470352,0.3329956090347131
AS_IS_WhatsApp,87,200,40,17,0.425,4.423307150606188,,115,0.28391915876033624,0.0009314829714676412,0.8191887678537938,0.36345800926030053
AS_IS_WhatsApp,88,200,40,18,0.45,4.538041898471359,,110,0.2933500311590339,0.0008934839131991201,0.829621515951396,0.29542923646951
AS_IS_WhatsApp,89,200,40,15,0.375,2.996722977498394,,125,0.2881970735880204,0.000881289900558624,0.8416850696299347,0.37934829926357355
AS_IS_WhatsApp,90,200,40,17,0.425,4.160979337113123,,115,0.3078187492148685,0.0007010633656896254,0.8316832501541136,0.3700391310089403
AS_IS_WhatsApp,91,200,40,10,0.25,3.998623027521101,,150,0.29825280573339974,0.0009590211365547921,0.8305107566422401,0.3951211459802934
AS_IS_WhatsApp,92,200,40,14,0.35,5.985450952202807,,130,0.3174480101515632,0.0007326976813383742,0.8154535135214255,0.2991651590858083
AS_IS_WhatsApp,93,200,40,20,0.5,6.051617283184106,,100,0.296074344628516,0.0010128356967437943,0.829141416687223,0.42685931162222995
AS_IS_WhatsApp,94,200,40,22,0.55,3.8747366883478644,,90,0.32619536544969685,0.0007578906945116375,0.83412882905916,0.4212875832982815
AS_IS_WhatsApp,95,200,40,20,0.5,5.0745749662967095,,100,0.32535622002245224,0.0007814829357296809,0.8379636974370663,0.3825120666657101
AS_IS_WhatsApp,96,200,40,13,0.325,3.074744490460695,,135,0.285164023076892,0.0007673273304015807,0.8440730479717008,0.33626616234208023
AS_IS_WhatsApp,97,200,40,17,0.425,4.428295437798216,,115,0.29331422166053184,0.0007219004572038791,0.8237980290307452,0.3196066599241186
AS_IS_WhatsApp,98,200,40,16,0.4,4.617889690280505,,120,0.3008582157266963,0.0008599687634016963,0.8487121065283751,0.38730499002187585
AS_IS_WhatsApp,99,200,40,18,0.45,5.881508592049677,,110,0.3154365457362725,0.0008973759061527078,0.828403869645782,0.3556862682056274
AS_IS_WhatsApp,100,200,40,17,0.425,3.753074361775771,,115,0.27807649642383553,0.0006642616710697739,0.8342607106551412,0.4143281222628082
AS_IS_WhatsApp,101,200,40,18,0.45,4.88691269040887,,110,0.28817628628604525,0.0009290618084530229,0.8362500504364831,0.3844831793204699
AS_IS_WhatsApp,102,200,40,14,0.35,3.8707662520241986,,130,0.30496603141597317,0.0008536679406235361,0.8418024428181827,0.37005798123570505
AS_IS_WhatsApp,103,200,40,14,0.35,5.761324166819158,,130,0.296181918155101,0.0006551741618501838,0.8457032885990057,0.38278078710315183
AS_IS_WhatsApp,104,200,40,15,0.375,4.83860625674646,,125,0.2945699874259183,0.0007125411153223349,0.8125550818738695,0.38431692147327495
AS_IS_WhatsApp,105,200,40,20,0.5,6.274869497348546,,100,0.27649058379430486,0.0009073866190514124,0.835517252390203,0.3959479985508548
AS_IS_WhatsApp,106,200,40,11,0.275,4.345778061173659,,145,0.27827523816399025,0.000444063250985041,0.8441571530279571,0.4368421255592653
AS_IS_WhatsApp,107,200,40,17,0.425,3.0163798812985805,,115,0.28710267842292564,0.0008783462718587812,0.8425230299603552,0.3775223093834122
AS_IS_WhatsApp,108,200,40,13,0.325,3.9992933398014126,,135,0.307617745134411,0.0010187114405099578,0.8375863847965995,0.4387747939652799
AS_IS_WhatsApp,109,200,40,18,0.45,3.5489811839062195,,110,0.30110791731990066,0.0008780649754217409,0.8377774433001939,0.38508719600825786
AS_IS_WhatsApp,110,200,40,16,0.4,4.099864040591601,,120,0.3003650236902974,0.000978293156400541,0.8331719926382075,0.36015084095393296
AS_IS_WhatsApp,111,200,40,15,0.375,4.930112965198316,,125,0.2934310481424609,0.0007691167358236937,0.8429524009671086,0.36779661238323386
AS_IS_WhatsApp,112,200,40,12,0.3,4.660517969442262,,140,0.2877807313471881,0.0009001175060122704,0.8352407481930355,0.3493582455455608
AS_IS_WhatsApp,113,200,40,13,0.325,5.842266477956132,,135,0.32727700346128386,0.0008763358831400034,0.8455602932435106,0.40674679526330354
AS_IS_WhatsApp,114,200,40,16,0.4,3.2873072872197024,,120,0.2893067204831238,0.0006255657523204087,0.8463646866330512,0.349683026793645
AS_IS_WhatsApp,115,200,40,16,0.4,6.8364367265412636,,120,0.2872188979698725,0.0010686461296827486,0.8470847837149467,0.38670494469853217
AS_IS_WhatsApp,116,200,40,16,0.4,4.845756765793162,,120,0.29699304608719734,0.0007645262526698002,0.8449649430355883,0.3637848261311332
AS_IS_WhatsApp,117,200,40,12,0.3,6.192806214449267,,140,0.28901138170530344,0.0008818814413819107,0.8599592137957319,0.36320503374809837
AS_IS_WhatsApp,118,200,40,16,0.4,5.558363391527342,,120,0.28923525587970456,0.0008474579460153574,0.8408359278493048,0.3720952244607461
AS_IS_WhatsApp,119,200,40,19,0.475,5.238316770075494,,105,0.31052074397234997,0.0005255637791238912,0.8631562613428713,0.33851700887050656
AS_IS_WhatsApp,120,200,40,17,0.425,6.563043369337058,,115,0.2884499687227713,0.0006518732130518232,0.8570495477238047,0.37783070414348635
ACN_Baseline,1,200,27,24,0.8888888888888888,0.3085036818513852,0.2551710921358949,80,0.6328322895410351,0.09456085140576796,0.6953753908121826,0.834198321242846
ACN_Baseline,2,200,29,26,0.896551724137931,0.3386774486770334,0.23788991048119984,70,0.6849170605710625,0.10468934736819911,0.7099137055904245,0.7974744203850374
ACN_Baseline,3,200,30,29,0.9666666666666667,0.2598705907363907,0.24855855903870921,55,0.6490591807530443,0.113813455146955,0.6988699167207538,0.8238903449761182
ACN_Baseline,4,200,29,20,0.6896551724137931,0.6263606857957669,0.24811367194465897,100,0.6703396282903812,0.09231118968532175,0.7232245081065805,0.8275166019628536
ACN_Baseline,5,200,29,27,0.9310344827586207,0.3880717470077422,0.22965788799797246,65,0.6771461688960994,0.11063444765170952,0.7112341037400624,0.7993505953095151
ACN_Baseline,6,200,27,25,0.9259259259259259,0.37081253587538504,0.25051062600320273,75,0.6282376735521691,0.10644909423265479,0.7018100915391071,0.8592071060407921
ACN_Baseline,7,200,27,22,0.8148148148148148,0.3855217488127428,0.23966548119982575,90,0.6250277629641005,0.1040549718558079,0.716977347826962,0.7973522876084734
ACN_Baseline,8,200,29,26,0.896551724137931,0.41429493400966555,0.24197568244895573,70,0.671794737109478,0.0911491958177223,0.6980157207952027,0.8108610073423423
ACN_Baseline,9,200,27,22,0.8148148148148148,0.4975379694161133,0.2791314460351115,90,0.6968110219810366,0.11230049406992536,0.678020703301752,0.9136857509481056
ACN_Baseline,10,200,31,28,0.9032258064516129,0.40452850476239344,0.2703189106772304,60,0.7148129022026959,0.10229937921305722,0.6862332911870997,0.8737999173524903
ACN_Baseline,11,200,27,24,0.8888888888888888,0.48098893464203063,0.24419373138427183,80,0.628765070184724,0.1018259514096347,0.6968090109838883,0.8303258644134939
ACN_Baseline,12,200,30,24,0.8,0.3369412961418892,0.2555110349057493,80,0.6849155292197321,0.09646687367240618,0.6948200556452003,0.881167896243525
ACN_Baseline,13,200,30,27,0.9,0.3758384062540117,0.2549878693633672,65,0.6591937027259792,0.10821173290017126,0.7142348241970374,0.8438593833492622
ACN_Baseline,14,200,26,23,0.8846153846153846,0.47445534963156794,0.2243989564501783,85,0.663884110309177,0.08872866841116436,0.7057049365581064,0.748808960014202
ACN_Baseline,15,200,29,26,0.896551724137931,0.4955804612185025,0.22329655823054842,70,0.661449241828148,0.10296883120040688,0.7093186333652176,0.8130142978398266
ACN_Baseline,16,200,31,26,0.8387096774193549,0.572491670651238,0.23542197085480387,70,0.6767596409396143,0.10220828639038163,0.6973841049966302,0.9061511577609832
