initial_adoption,isolation_threshold,final_density,final_isolated_students,degree_gini,giant_component_share
0.2,0,0.035326633165829145,14,0.5277596017069703,0.93
0.2,1,0.040753768844221105,15,0.5548828606658447,0.89
0.2,2,0.03984924623115578,18,0.5390668348045398,0.87
0.2,3,0.044371859296482415,7,0.5146149490373726,0.965
0.4,0,0.05170854271356784,9,0.46103012633624885,0.955
0.4,1,0.05994974874371859,9,0.44159262363788776,0.955
0.4,2,0.060854271356783916,18,0.4644962840627582,0.91
0.4,3,0.06190954773869347,12,0.4467938311688313,0.93
0.6,0,0.062160804020100505,7,0.41018189167340346,0.965
0.6,1,0.07527638190954773,5,0.358985313751669,0.975
0.6,2,0.07884422110552763,5,0.34244741873804974,0.975
0.6,3,0.0842713567839196,6,0.31811270125223623,0.97
0.8,0,0.08376884422110553,2,0.234151169766047,0.99
0.8,1,0.09824120603015075,1,0.21586956521739142,0.995
0.8,2,0.0991959798994975,1,0.21018996960486325,0.995
0.8,3,0.09331658291457287,4,0.24178782983306424,0.98
0.9,0,0.09467336683417085,3,0.1627653927813164,0.985
0.9,1,0.10492462311557789,1,0.15470545977011496,0.995
0.9,2,0.105678391959799,1,0.1571088920589634,0.995
0.9,3,0.10849246231155779,2,0.15593793422880964,0.99
